Rank,Player,Country,Birthdate
1,Novak Djokovic,SRB,5/22/1987
2,Daniil Medvedev,RUS,2/11/1996
3,Rafael Nadal,ESP,6/3/1986
4,Stefanos Tsitsipas,GRE,8/12/1998
5,Dominic Thiem,AUT,9/3/1993
6,Alexander Zverev,GER,4/20/1997
7,Andrey Rublev,RUS,10/20/1997
8,Roger Federer,SUI,8/8/1981
9,Matteo Berrettini,ITA,4/12/1996
10,Roberto Bautista Agut,ESP,4/14/1988
11,Diego Sebastian Schwartzman,ARG,8/16/1992
12,Denis Shapovalov,CAN,4/15/1999
13,Pablo Carreno Busta,ESP,7/12/1991
14,Casper Ruud,NOR,12/22/1998
15,Alex De Minaur,AUS,2/17/1999
16,David Goffin,BEL,12/7/1990
17,Gael Monfils,FRA,9/1/1986
18,Hubert Hurkacz,POL,2/11/1997
19,Felix Auger Aliassime,CAN,8/8/2000
20,Christian Garin,CHI,5/30/1996
21,Grigor Dimitrov,BUL,5/16/1991
22,Milos Raonic,CAN,12/27/1990
23,Jannik Sinner,ITA,8/16/2001
24,Aslan Karatsev,RUS,9/4/1993
25,Ugo Humbert,FRA,6/26/1998
26,Daniel Evans,GBR,5/23/1990
27,Lorenzo Sonego,ITA,5/11/1995
28,Nikoloz Basilashvili,GEO,2/23/1992
29,Karen Khachanov,RUS,5/21/1996
30,Stanislas Wawrinka,SUI,3/28/1985
31,Fabio Fognini,ITA,5/24/1987
32,Reilly Opelka,USA,8/28/1997
33,John Isner,USA,4/26/1985
34,Cameron Norrie,GBR,8/23/1995
35,Alejandro Davidovich Fokina,ESP,6/5/1999
36,Borna Coric,CRO,11/14/1996
37,Marin Cilic,CRO,9/28/1988
38,Alexander Bublik,KAZ,6/17/1997
39,Albert Ramos,ESP,1/17/1988
40,Taylor Harry Fritz,USA,10/28/1997
41,Adrian Mannarino,FRA,6/29/1988
42,Dusan Lajovic,SRB,6/30/1990
43,John Millman,AUS,6/14/1989
44,Filip Krajinovic,SRB,2/27/1992
45,Jan Lennard Struff,GER,4/25/1990
46,Benoit Paire,FRA,5/8/1989
47,Federico Delbonis,ARG,10/5/1990
48,Marton Fucsovics,HUN,2/8/1992
49,Miomir Kecmanovic,SRB,8/31/1999
50,Sebastian Korda,USA,7/5/2000
51,Lloyd George Muirhead Harris,RSA,2/24/1997
52,Tommy Paul,USA,5/17/1997
53,Kei Nishikori,JPN,12/29/1989
54,Sam Querrey,USA,10/7/1987
55,Laslo Djere,SRB,6/2/1995
56,Richard Gasquet,FRA,6/18/1986
57,Francis Tiafoe,USA,1/20/1998
58,Yoshihito Nishioka,JPN,9/27/1995
59,Guido Pella,ARG,5/17/1990
60,Nick Kyrgios,AUS,4/27/1995
61,Jeremy Chardy,FRA,2/12/1987
62,Dominik Koepfer,GER,4/29/1994
63,Lorenzo Musetti,ITA,3/3/2002
64,Aljaz Bedene,SLO,7/18/1989
65,Vasek Pospisil,CAN,6/23/1990
66,Marcos Giron,USA,7/24/1993
67,Alexei Popyrin,AUS,8/5/1999
68,Tennys Sandgren,USA,7/22/1991
69,Jaume Munar,ESP,5/5/1997
70,Pablo Andujar,ESP,1/23/1986
71,Soon Woo Kwon,KOR,12/2/1997
72,Jiri Vesely,CZE,7/10/1993
73,Egor Gerasimov,BLR,11/11/1992
74,Steve Johnson,USA,12/24/1989
75,Carlos Alcaraz Garfia,ESP,5/5/2003
76,Emil Ruusuvuori,FIN,4/2/1999
77,Gianluca Mager,ITA,12/1/1994
78,Jordan Thompson,AUS,4/20/1994
79,Ilya Ivashka,BLR,2/24/1994
80,Ricardas Berankis,LTU,6/21/1990
81,Thiago Monteiro,BRA,5/31/1994
82,Kyle Edmund,GBR,1/8/1995
83,Corentin Moutet,FRA,4/19/1999
84,Pablo Cuevas,URU,1/1/1986
85,Jo Wilfried Tsonga,FRA,4/17/1985
86,Marco Cecchinato,ITA,9/30/1992
87,Federico Coria,ARG,3/9/1992
88,Stefano Travaglia,ITA,12/18/1991
89,Feliciano Lopez,ESP,9/20/1981
90,Andreas Seppi,ITA,2/21/1984
91,James Duckworth,AUS,1/21/1992
92,Facundo Bagnis,ARG,2/27/1990
93,Radu Albot,MDA,11/11/1989
94,Norbert Gombos,SVK,8/13/1990
95,Lucas Pouille,FRA,2/23/1994
96,Salvatore Caruso,ITA,12/15/1992
97,Gilles Simon,FRA,12/27/1984
98,Mikael Ymer,SWE,9/9/1998
99,Yannick Hanfmann,GER,11/13/1991
100,Roberto Carballes Baena,ESP,3/23/1993
101,Pierre Hugues Herbert,FRA,3/18/1991
102,Kevin Anderson,RSA,5/18/1986
103,Taro Daniel,JPN,1/27/1993
104,Kamil Majchrzak,POL,1/13/1996
105,Mikhail Kukushkin,KAZ,12/26/1987
106,Fernando Verdasco,ESP,11/15/1983
107,Pedro Martinez Portero,ESP,4/26/1997
108,Mackenzie Mcdonald,USA,4/16/1995
109,Arthur Rinderknech,FRA,7/23/1995
110,Yuichi Sugita,JPN,9/18/1988
111,Andrej Martin,SVK,9/20/1989
